ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,amrai gaon,919,2406,18,75,692900.4400000001,5373879.53,0,0,2481,2,2431,704,2265,16,476,0,0,4222825.33,1,1,86,2481,48,2481,2413,1764,78.6%,73.1%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,faridinagar gaon,750,1459,53,343,876544.23,7235660.39,0,2,1802,5,1790,515,1648,144,297,2,0,5349540.42,0,0,77,1795,33,1802,1723,1372,73.9%,79.6%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,ishwaripuri,22,176,7,76,212543.36,1963665.99,0,2,252,0,246,110,220,8,65,0,0,1145949,0,0,18,252,0,252,232,193,58.4%,83.2%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,jarhara new,413,1197,9,41,345209.94,2729138.29,0,0,1238,1,1224,336,1086,8,267,0,0,2306845,1,1,46,1238,23,1238,1192,853,84.5%,71.6%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,takrohi gaon,455,1218,3,31,345557.59,2724977.09,0,0,1249,0,1227,336,1120,9,254,0,0,2239677,1,1,58,1249,34,1249,1209,872,82.2%,72.1%
JANKIPURAM ZONE,EUDC MAHANAGAR,EUDD_SITAPUR_RD,DIV362665,"aziz nagar,keshav nagar,anna market, kakauli, prabhat puram,preeti nagar,dudauli",2312,14094,8,390,4883667.2,40553406.14,0,6,14484,71,14161,5728,13173,97,4535,6,0,31349341.93,15,15,1585,14482,82,14484,14114,8770,77.3%,62.1%
JANKIPURAM ZONE,EUDC MAHANAGAR,EUDD_SITAPUR_RD,DIV362665,"bahamani thola , fayadpur , pachghara ,lohargali , mahaveer marga, sai abazar",0,1,0,0,980,7119.34,0,0,1,0,1,0,1,0,0,0,0,5756,0,0,0,1,0,1,1,1,80.9%,100.0%
JANKIPURAM ZONE,EUDC MAHANAGAR,EUDD_UNIVERSITY,DIV362661,"lahaurganj, daliganj station,",472,1843,13,174,1095976.3800000001,9183983.36,0,2,2017,0,1994,483,1873,20,815,2,0,5265449.96,0,0,118,2008,14,2017,1938,1421,57.3%,73.3%
JANKIPURAM ZONE,EUDC PURANIA,EDD_BKT,DIV362603,"behta, paigramau, palka",1126,2095,12,79,798467.56,6867144.85,0,4,2173,11,2134,407,1924,7,346,0,0,5566323.15,5,5,102,2173,27,2174,2072,1493,81.1%,72.1%
JANKIPURAM ZONE,EUDC PURANIA,EDD_BKT,DIV362603,"bhakhamau,sadamau,seewa,dasauli,newazpur",1122,2544,15,113,951952.84,8168801.71,0,3,2655,13,2628,769,2361,22,469,2,0,6855815.4,4,4,118,2657,23,2657,2523,1874,83.9%,74.3%
